Area Name,Month,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases,Cumulative lab-confirmed cases rate
Yorkshire and The Humber,January,2020-01-30,1,1,0
South East,February,2020-02-05,1,1,0
South East,February,2020-02-08,4,5,0.1
South East,February,2020-02-09,1,6,0.1
London,February,2020-02-11,1,1,0
Yorkshire and The Humber,February,2020-02-20,1,2,0
East Midlands,February,2020-02-21,1,1,0
South East,February,2020-02-24,1,7,0.1
London,February,2020-02-24,1,2,0
South East,February,2020-02-25,1,8,0.1
London,February,2020-02-25,3,5,0.1
East Midlands,February,2020-02-25,1,2,0
London,February,2020-02-26,2,7,0.1
South West,February,2020-02-26,1,1,0
East of England,February,2020-02-26,1,1,0
South East,February,2020-02-27,2,10,0.1
London,February,2020-02-27,2,9,0.1
Yorkshire and The Humber,February,2020-02-27,1,3,0.1
South West,February,2020-02-27,1,2,0
East of England,February,2020-02-27,1,2,0
London,February,2020-02-28,4,13,0.1
South East,February,2020-02-28,2,12,0.1
Yorkshire and The Humber,February,2020-02-28,2,5,0.1
East of England,February,2020-02-28,2,4,0.1
East Midlands,February,2020-02-28,1,3,0.1
North West,February,2020-02-28,1,1,0
South East,February,2020-02-29,2,14,0.2
London,February,2020-02-29,1,14,0.2
East Midlands,February,2020-02-29,1,4,0.1
London,March,2020-03-01,4,18,0.2
South East,March,2020-03-01,1,15,0.2
North West,March,2020-03-01,7,8,0.1
Yorkshire and The Humber,March,2020-03-01,2,7,0.1
South West,March,2020-03-01,3,5,0.1
East of England,March,2020-03-01,1,5,0.1
East Midlands,March,2020-03-01,1,5,0.1
West Midlands,March,2020-03-01,2,2,0
London,March,2020-03-02,12,30,0.3
South East,March,2020-03-02,1,16,0.2
North West,March,2020-03-02,6,14,0.2
South West,March,2020-03-02,8,13,0.2
Yorkshire and The Humber,March,2020-03-02,3,10,0.2
East Midlands,March,2020-03-02,2,7,0.1
West Midlands,March,2020-03-02,4,6,0.1
North East,March,2020-03-02,1,1,0
London,March,2020-03-03,6,36,0.4
South East,March,2020-03-03,9,25,0.3
South West,March,2020-03-03,10,23,0.4
North West,March,2020-03-03,7,21,0.3
East Midlands,March,2020-03-03,7,14,0.3
Yorkshire and The Humber,March,2020-03-03,4,14,0.3
East of England,March,2020-03-03,7,12,0.2
West Midlands,March,2020-03-03,1,7,0.1
London,March,2020-03-04,18,54,0.6
South East,March,2020-03-04,7,32,0.4
South West,March,2020-03-04,6,29,0.5
North West,March,2020-03-04,2,23,0.3
East of England,March,2020-03-04,7,19,0.3
East Midlands,March,2020-03-04,2,16,0.3
Yorkshire and The Humber,March,2020-03-04,2,16,0.3
West Midlands,March,2020-03-04,3,10,0.2
North East,March,2020-03-04,1,2,0.1
London,March,2020-03-05,14,68,0.8
South East,March,2020-03-05,4,36,0.4
South West,March,2020-03-05,4,33,0.6
North West,March,2020-03-05,10,33,0.5
East of England,March,2020-03-05,1,20,0.3
East Midlands,March,2020-03-05,3,19,0.4
Yorkshire and The Humber,March,2020-03-05,2,18,0.3
West Midlands,March,2020-03-05,6,16,0.3
North East,March,2020-03-05,2,4,0.2
London,March,2020-03-06,23,91,1
South East,March,2020-03-06,16,52,0.6
South West,March,2020-03-06,11,44,0.8
North West,March,2020-03-06,2,35,0.5
East Midlands,March,2020-03-06,7,26,0.5
East of England,March,2020-03-06,5,25,0.4
Yorkshire and The Humber,March,2020-03-06,2,20,0.4
West Midlands,March,2020-03-06,2,18,0.3
North East,March,2020-03-06,1,5,0.2
London,March,2020-03-07,14,105,1.2
South East,March,2020-03-07,4,56,0.6
South West,March,2020-03-07,2,46,0.8
North West,March,2020-03-07,6,41,0.6
East Midlands,March,2020-03-07,4,30,0.6
East of England,March,2020-03-07,3,28,0.5
Yorkshire and The Humber,March,2020-03-07,5,25,0.5
West Midlands,March,2020-03-07,5,23,0.4
North East,March,2020-03-07,2,7,0.3
London,March,2020-03-08,22,127,1.4
South East,March,2020-03-08,10,66,0.7
South West,March,2020-03-08,3,49,0.9
North West,March,2020-03-08,5,46,0.6
East Midlands,March,2020-03-08,1,31,0.6
East of England,March,2020-03-08,2,30,0.5
Yorkshire and The Humber,March,2020-03-08,3,28,0.5
West Midlands,March,2020-03-08,4,27,0.5
London,March,2020-03-09,53,180,2
South East,March,2020-03-09,24,90,1
South West,March,2020-03-09,5,54,1
North West,March,2020-03-09,7,53,0.7
East Midlands,March,2020-03-09,10,41,0.9
West Midlands,March,2020-03-09,8,35,0.6
Yorkshire and The Humber,March,2020-03-09,7,35,0.6
East of England,March,2020-03-09,4,34,0.5
North East,March,2020-03-09,3,10,0.4
London,March,2020-03-10,91,271,3
South East,March,2020-03-10,34,124,1.4
North West,March,2020-03-10,15,68,0.9
South West,March,2020-03-10,10,64,1.1
East Midlands,March,2020-03-10,12,53,1.1
Yorkshire and The Humber,March,2020-03-10,18,53,1
West Midlands,March,2020-03-10,17,52,0.9
East of England,March,2020-03-10,16,50,0.8
North East,March,2020-03-10,4,14,0.5
London,March,2020-03-11,183,454,5.1
South East,March,2020-03-11,50,174,1.9
North West,March,2020-03-11,17,85,1.2
South West,March,2020-03-11,19,83,1.5
West Midlands,March,2020-03-11,29,81,1.4
East Midlands,March,2020-03-11,25,78,1.6
East of England,March,2020-03-11,14,64,1
Yorkshire and The Humber,March,2020-03-11,10,63,1.1
North East,March,2020-03-11,1,15,0.6
London,March,2020-03-12,165,619,6.9
South East,March,2020-03-12,85,259,2.8
West Midlands,March,2020-03-12,46,127,2.2
North West,March,2020-03-12,40,125,1.7
South West,March,2020-03-12,24,107,1.9
East Midlands,March,2020-03-12,18,96,2
East of England,March,2020-03-12,18,82,1.3
Yorkshire and The Humber,March,2020-03-12,14,77,1.4
North East,March,2020-03-12,2,17,0.6
London,March,2020-03-13,136,755,8.5
South East,March,2020-03-13,53,312,3.4
West Midlands,March,2020-03-13,40,167,2.8
North West,March,2020-03-13,41,166,2.3
South West,March,2020-03-13,31,138,2.5
East of England,March,2020-03-13,37,119,1.9
East Midlands,March,2020-03-13,22,118,2.5
Yorkshire and The Humber,March,2020-03-13,12,89,1.6
North East,March,2020-03-13,6,23,0.9
London,March,2020-03-14,149,904,10.1
South East,March,2020-03-14,41,353,3.9
West Midlands,March,2020-03-14,31,198,3.4
North West,March,2020-03-14,25,191,2.6
South West,March,2020-03-14,12,150,2.7
East Midlands,March,2020-03-14,19,137,2.9
East of England,March,2020-03-14,16,135,2.2
Yorkshire and The Humber,March,2020-03-14,12,101,1.8
North East,March,2020-03-14,6,29,1.1
London,March,2020-03-15,165,1069,12
South East,March,2020-03-15,53,406,4.4
West Midlands,March,2020-03-15,44,242,4.1
North West,March,2020-03-15,23,214,2.9
East of England,March,2020-03-15,35,170,2.7
South West,March,2020-03-15,17,167,3
East Midlands,March,2020-03-15,26,163,3.4
Yorkshire and The Humber,March,2020-03-15,10,111,2
North East,March,2020-03-15,10,39,1.5
London,March,2020-03-16,234,1303,14.6
South East,March,2020-03-16,78,484,5.3
West Midlands,March,2020-03-16,56,298,5.1
North West,March,2020-03-16,56,270,3.7
East Midlands,March,2020-03-16,34,197,4.1
East of England,March,2020-03-16,23,193,3.1
South West,March,2020-03-16,18,185,3.3
Yorkshire and The Humber,March,2020-03-16,28,139,2.5
North East,March,2020-03-16,7,46,1.7
London,March,2020-03-17,310,1613,18.1
South East,March,2020-03-17,89,573,6.3
West Midlands,March,2020-03-17,69,367,6.2
North West,March,2020-03-17,55,325,4.5
East of England,March,2020-03-17,38,231,3.7
East Midlands,March,2020-03-17,33,230,4.8
South West,March,2020-03-17,21,206,3.7
